date,change facebook settings,change in facebook privacy policy 2016,change in facebook privacy policy channel 13,channel 13 news facebook hoax,deadline tomorrow facebook snopes,facebook account settings wrong password,facebook acquaintance list,facebook app download for samsung,facebook app for iphone,facebook app java,facebook deadline tomorrow snopes,facebook edit friends list restricted,facebook friends list on profile,facebook friends list order,facebook friends list privacy mobile,facebook friends list privacy,facebook friends privacy settings,facebook hoax meme,facebook hoaxes snopes,facebook legal disclaimer hoax,facebook logout button missing,facebook new privacy settings 2016,facebook photo privacy settings,facebook policy change 2016,facebook privacy change 2016,facebook privacy change hoax 2016,facebook privacy change october 2016,facebook privacy change snopes,facebook privacy changes 2016 hoax,facebook privacy changes 2016,facebook privacy changes hoax,facebook privacy changes july 2016,facebook privacy changes june 2016,facebook privacy changes october 2016,facebook privacy hoax 2016,facebook privacy hoax october 2016,facebook privacy hoax snopes,facebook privacy notice,facebook privacy policy 2016,facebook privacy policy change 2016,facebook privacy settings 2015,facebook privacy settings change,facebook privacy settings explained,facebook privacy settings friends list,facebook privacy settings guide,facebook privacy settings photos,facebook privacy snopes,facebook privacy statement,facebook profile friends list order meaning,facebook public entity 2016,facebook restricted list edit,facebook restricted list,facebook search by city,facebook search by email,facebook search by phone number,facebook search for people without logging in,facebook search friends by phone number,facebook settings language,facebook settings page,facebook sign up gmail account,facebook sign up new person,facebook tagged photos privacy,facebook view tracker,fb logout button,google account change password,google account settings,how can i hide friends list on facebook,how can i hide my friend list on facebook in mobile,how can i hide my friends list on facebook mobile,how others see my facebook mobile,how to add someone to restricted list on facebook,how to block people from seeing tagged photos on facebook,how to block tagged photos on facebook,how to change facebook privacy settings,how to create friends list on facebook app,how to delete facebook friends fast,how to delete feeds on facebook,how to delete friends list on facebook,how to edit custom list on facebook app,how to edit friends list on facebook mobile,how to hide albums on facebook,how to hide friend list on facebook from mobile,how to hide friend list on facebook from public,how to hide friends list in facebook,how to hide friends list on facebook 2016,how to hide friends list on facebook mobile,how to hide friends list on facebook samsung,how to hide friends on facebook 2016,how to hide friends on facebook android,how to hide friends on facebook from other friends,how to hide friends on facebook iphone,how to hide friends on facebook mobile,how to hide mutual friends on facebook,how to hide one friend on facebook,how to hide photos of you on facebook,how to hide photos on facebook from everyone,how to hide photos on facebook from public,how to hide photos on facebook,how to hide tagged photos on facebook timeline,how to hide tagged photos on facebook,how to make a post public on facebook,how to make friends list private on facebook android,how to make my profile picture private on facebook,how to make profile picture unclickable,how to make tagged photos private on facebook,how to privacy on facebook,how to see what your facebook profile looks like to others on mobile,how to see who viewed your facebook profile wikianswers,instagram login with facebook,internet memes 2016,internet privacy definition,internet privacy essay,internet privacy issues,internet privacy protection,internet privacy software,is it true about facebook privacy,is the facebook privacy post real 2015,limited profile facebook,old facebook sign in,online privacy issues,personal privacy definition,personal privacy on the internet,personal privacy,privacy definition law,privacy meaning,privacy options,privacy settings facebook,privacy settings google,reset facebook settings,search facebook without account,snopes facebook 2016,snopes facebook charging 2016,snopes facebook privacy 2016,snopes facebook see who viewed your profile,specific friends on facebook,top 9 friends on facebook,verisign class 3 secure server ca  g3,verisign india,verisign reston,verisign symantec,verisign wiki,view my whatsapp profile,visit the new facebook hoax,wants to share with you on facebook,what does my facebook look like to non friends mobile,what is online privacy,what is privacy,where is verisign located,who can see my friends on facebook mobile,who can see my profile on facebook,who has viewed my facebook profile,who viewed my facebook profile app for android,who viewed my facebook profile the most,Row Total
10/1/13,246,0,1,4,0,1,9,85,264,234,0,2,26,59,1,14,32,1,2,0,1,0,33,0,0,0,0,2,0,0,7,0,0,0,0,0,5,45,0,0,0,90,1,2,1,43,200,18,1,0,8,141,32,134,42,9,5,13,98,187,19,8,16,2,100,232,16,1,1,2,3,3,4,48,1,5,1,8,1,3,7,1,2,17,0,9,1,0,1,5,6,12,12,2,8,1,27,139,4,33,5,0,4,6,8,191,0,0,22,0,9,4,27,17,10,0,0,85,35,12,6,4,200,16,62,29,469,62,36,12,1,0,0,1,6,13,1,4,3,20,6,2,1,1,0,21,506,1,1,23,17,0,2,4821
11/1/13,230,0,0,0,0,0,8,78,343,245,0,3,26,54,1,10,35,2,1,0,2,0,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,64,2,3,3,37,5,5,2,0,7,135,46,152,50,18,3,11,58,191,25,6,19,2,96,260,19,1,1,1,6,3,6,38,1,4,1,8,0,1,8,1,3,16,0,6,1,0,1,4,7,11,19,6,11,1,23,128,2,38,1,0,3,3,10,159,0,0,22,0,7,7,25,12,14,0,0,70,41,14,10,4,238,15,72,30,294,52,46,14,0,0,0,1,12,8,2,3,3,19,5,4,1,1,0,18,495,1,1,20,17,0,3,4422
12/1/13,226,0,0,0,0,0,9,79,258,260,0,2,19,52,2,19,44,1,1,0,1,0,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,59,2,8,2,29,5,2,1,0,7,145,46,131,49,27,3,17,49,237,18,7,16,3,124,282,11,1,1,1,7,1,6,39,1,5,2,8,0,2,7,2,3,24,0,7,1,0,2,6,6,15,17,7,8,1,16,105,3,25,2,0,5,3,7,155,0,0,22,0,2,3,20,8,10,0,0,79,49,11,5,3,180,9,58,24,257,52,49,16,0,0,0,1,6,4,2,4,2,16,5,3,1,1,0,11,423,0,1,26,19,0,3,4168
1/1/14,234,0,0,0,0,0,7,65,253,260,0,3,27,49,1,20,34,1,2,0,1,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,2,5,1,36,5,3,1,0,7,154,39,128,47,31,5,18,54,182,32,8,10,6,139,323,15,1,2,2,3,1,7,40,1,7,1,16,0,1,8,2,2,27,0,6,1,0,3,7,7,14,20,5,7,2,22,120,4,26,3,0,2,5,9,178,0,0,26,0,9,5,17,10,9,0,0,88,38,9,8,2,183,11,62,27,250,55,41,18,0,0,0,1,8,3,1,3,2,22,6,2,1,1,0,11,423,0,1,24,23,0,3,4262
2/1/14,213,0,0,0,0,0,8,57,243,256,0,2,22,49,1,15,33,1,2,0,1,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,2,5,2,35,0,4,1,0,8,164,38,104,58,5,7,18,44,150,15,4,9,3,129,341,15,1,3,1,5,1,4,28,0,9,1,10,0,1,8,2,1,23,0,7,2,0,3,6,8,11,18,5,8,1,17,109,3,33,2,0,3,3,6,168,0,0,30,0,8,4,22,14,11,0,0,76,38,12,8,4,223,15,64,31,238,59,54,12,0,0,0,1,12,5,2,6,3,21,5,4,3,1,0,17,495,0,1,23,21,0,3,4192
3/1/14,209,0,0,0,0,0,7,67,222,278,0,4,22,59,1,16,33,1,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,51,2,3,1,25,0,3,2,0,10,156,44,100,51,5,4,13,50,223,27,5,18,2,120,264,20,1,1,2,5,1,4,33,0,6,2,16,0,1,7,2,2,15,0,9,1,0,4,4,8,11,15,3,8,1,20,100,1,24,2,0,2,4,5,175,0,0,34,0,5,3,22,8,13,0,0,64,34,13,7,4,233,18,72,40,244,49,37,9,0,0,0,1,11,6,2,3,4,23,5,3,2,1,0,17,545,0,2,17,14,1,1,4204
4/1/14,255,0,0,0,0,0,8,62,211,308,0,3,24,61,1,22,29,1,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,64,2,5,1,31,0,3,1,0,11,198,43,97,46,11,6,13,51,341,47,8,15,3,200,319,15,1,3,2,5,2,6,38,0,6,1,20,0,2,6,1,2,25,0,4,1,0,2,7,8,11,14,7,8,2,18,105,1,26,3,0,3,2,7,165,0,0,50,0,10,7,15,7,9,0,0,76,45,15,8,5,225,20,75,33,238,52,45,8,0,0,0,1,12,8,2,4,4,23,5,4,2,1,0,17,545,0,2,23,19,1,2,4677
5/1/14,246,0,0,0,0,0,6,74,227,308,0,2,24,52,1,15,31,1,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,5,2,27,0,5,1,0,10,188,58,85,52,31,5,11,42,355,50,5,12,2,129,264,11,1,2,1,8,1,5,36,0,5,4,12,0,2,8,1,2,31,0,10,1,0,4,9,7,9,18,3,6,3,12,96,2,17,2,0,3,5,6,168,0,0,50,0,7,5,25,12,10,0,0,73,42,9,10,4,225,12,72,35,257,49,39,10,0,0,0,1,13,3,1,4,2,25,2,2,2,1,0,15,512,0,1,22,23,1,4,4484
6/1/14,230,0,0,0,0,1,9,74,195,371,0,3,27,57,2,13,25,1,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,2,2,30,0,2,1,0,10,170,70,91,54,7,8,13,59,178,43,4,15,2,139,328,18,1,2,1,8,1,2,37,0,6,1,12,1,2,7,1,1,30,0,7,1,0,2,2,9,11,16,5,6,2,12,100,1,22,4,0,3,4,8,168,0,0,44,0,4,5,10,8,8,0,0,70,25,10,4,3,210,10,65,35,232,42,34,11,0,0,0,1,9,6,2,4,2,22,6,5,0,1,0,11,417,1,5,27,25,1,3,4216
7/1/14,230,0,0,0,0,1,10,81,232,345,0,2,24,83,2,19,32,1,1,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,1,6,1,22,9,1,1,0,7,180,59,104,61,7,6,20,51,205,42,6,12,6,158,296,21,1,3,1,7,3,7,32,1,7,3,12,1,1,6,1,3,21,0,10,1,0,4,7,11,19,21,6,5,1,14,100,1,22,4,1,5,3,5,178,1,0,63,0,5,3,14,8,6,0,0,88,30,6,5,2,200,9,67,31,238,55,45,7,0,0,0,1,11,3,2,4,2,22,5,3,0,1,0,15,406,2,2,24,21,1,6,4367
8/1/14,242,0,0,0,0,1,10,79,279,334,0,2,24,74,1,15,29,2,1,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,62,1,4,1,35,13,7,1,0,11,205,56,85,52,14,6,18,55,437,39,8,12,2,162,314,26,1,2,1,8,1,7,47,1,10,2,14,1,2,11,2,1,27,0,13,1,0,3,5,10,20,22,5,9,2,10,98,2,19,2,1,3,4,5,178,0,0,79,0,4,4,13,8,8,0,0,94,34,5,6,3,178,7,74,27,257,52,47,13,1,0,0,1,12,4,1,3,2,24,6,5,0,2,1,13,400,2,1,27,22,2,4,4741
9/1/14,246,0,0,0,0,1,11,71,290,319,0,1,23,69,1,15,37,2,2,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,1,53,1,4,4,25,9,5,1,0,5,152,39,79,51,27,6,22,39,455,52,7,12,1,191,341,15,1,2,2,5,1,9,32,1,9,3,11,1,2,6,1,2,28,0,5,1,0,1,6,8,7,16,4,8,2,10,92,1,19,3,1,2,3,7,178,0,0,59,0,9,4,19,11,11,0,0,73,34,8,12,2,218,12,78,30,238,59,36,10,1,0,0,1,12,6,1,4,3,21,6,3,0,3,0,15,534,1,1,27,21,2,5,4796
10/1/14,209,0,0,0,0,1,8,88,232,341,0,2,19,66,1,18,36,1,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,59,1,5,2,23,0,4,1,0,7,154,40,88,68,11,5,18,47,169,60,7,14,4,153,310,9,1,1,2,6,1,2,36,1,8,2,10,1,1,6,1,1,30,0,2,1,1,3,6,6,8,14,6,12,1,8,96,1,19,1,2,2,2,3,165,0,0,57,0,11,5,24,8,8,0,0,55,27,14,7,3,210,14,78,29,213,62,39,12,1,0,0,1,11,5,3,5,2,25,6,7,0,3,0,14,523,1,2,24,26,1,3,4309
11/1/14,205,0,0,0,0,1,9,58,206,286,0,3,24,59,1,19,29,2,2,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,2,54,1,4,1,20,21,11,1,0,6,168,51,79,58,11,4,24,49,219,39,5,12,3,143,360,17,2,3,2,8,2,2,28,1,7,3,8,1,1,5,4,1,17,0,2,1,0,4,6,5,8,15,6,10,2,6,83,1,18,2,2,4,5,1,155,0,0,50,1,12,6,19,9,9,1,0,64,52,14,5,4,210,11,81,22,219,59,43,10,1,0,0,1,10,9,1,5,3,21,6,8,0,2,0,21,478,1,4,19,22,1,7,4249
12/1/14,209,0,1,0,0,1,8,63,200,304,0,2,24,66,1,17,27,2,2,0,2,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,4,10,0,0,6,55,2,3,1,21,38,9,1,0,6,166,80,70,74,14,6,20,52,164,30,5,9,4,172,373,16,2,2,1,9,2,3,27,1,4,3,8,0,5,6,3,1,20,0,5,1,0,4,5,7,8,18,2,10,3,12,103,2,18,5,1,3,2,5,155,0,1,50,1,5,5,11,8,7,2,0,67,35,7,11,2,158,11,74,24,225,52,43,11,1,0,0,1,8,4,1,4,2,19,3,7,2,1,0,17,400,1,2,22,23,1,6,4156
1/1/15,234,0,18,40,0,1,8,69,206,319,0,3,22,59,1,19,27,3,1,0,3,0,20,0,0,0,0,6,0,1,2,0,0,0,0,0,6,75,0,0,14,69,1,5,1,24,171,63,1,0,7,149,74,73,65,46,6,22,53,355,31,7,11,3,177,387,20,1,1,2,4,1,4,34,2,8,2,9,0,2,5,1,2,19,0,5,1,0,3,8,9,10,20,5,9,3,9,79,2,17,2,1,5,4,3,178,0,0,61,1,6,3,15,8,4,2,1,67,35,7,5,3,175,11,70,27,269,42,41,16,0,0,0,1,9,6,1,6,2,20,4,8,2,1,0,13,434,1,2,27,21,1,4,4880
2/1/15,205,0,0,0,0,1,8,57,190,297,0,3,19,59,2,12,30,1,1,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,46,1,5,3,20,5,4,2,0,6,152,62,64,71,42,9,17,41,296,17,5,10,4,162,378,16,1,1,1,7,1,4,29,1,5,2,10,0,1,4,1,1,18,0,6,1,0,4,4,5,14,17,5,6,1,8,77,2,13,1,1,3,3,1,155,0,0,61,1,9,4,21,7,11,0,0,58,32,7,7,2,193,13,77,29,207,49,44,14,0,0,0,0,10,7,1,5,4,20,4,5,1,1,0,16,478,1,1,21,18,1,4,4206
3/1/15,192,0,0,0,0,1,10,72,174,338,0,1,26,57,3,20,25,1,1,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,55,1,5,1,22,5,3,1,0,9,172,63,61,60,31,8,18,50,191,27,5,12,3,186,391,15,1,1,1,7,1,3,29,1,6,2,8,0,1,4,2,2,21,0,9,2,0,3,6,6,14,18,4,5,2,10,79,2,13,1,1,2,1,3,146,0,0,65,1,9,5,19,9,7,0,0,70,30,12,8,2,198,14,91,32,200,46,29,15,0,0,0,0,11,5,1,4,1,22,6,5,1,1,0,18,495,1,1,24,28,1,4,4251
4/1/15,188,0,0,0,0,1,11,68,179,338,0,3,23,61,1,19,22,1,1,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,1,6,2,20,0,3,1,0,8,164,86,70,53,35,5,22,54,246,30,8,9,3,215,410,13,2,1,2,3,1,4,32,2,5,1,10,0,2,6,3,1,24,0,6,2,1,3,8,7,14,17,3,6,1,10,75,1,17,1,1,5,5,4,155,0,0,61,1,13,4,18,11,7,0,0,61,28,13,11,4,208,17,86,35,200,46,36,11,0,0,0,0,12,5,1,3,3,20,4,5,3,1,0,12,495,1,1,24,18,1,6,4377
5/1/15,200,0,0,0,0,1,11,58,158,308,0,2,22,49,1,19,26,1,1,0,3,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,53,1,6,1,24,0,2,1,0,9,149,104,82,50,31,6,25,45,150,24,5,10,9,229,364,16,2,1,1,7,2,2,33,1,3,2,12,0,1,7,2,2,28,0,4,1,1,5,6,7,9,19,3,5,2,11,71,1,17,3,1,2,5,2,152,0,0,57,1,9,4,15,8,5,0,0,70,27,8,9,2,183,16,82,33,188,55,37,12,0,0,0,0,11,5,1,3,1,17,5,5,5,2,0,13,467,1,1,30,16,2,5,4124
6/1/15,205,0,0,0,0,1,12,59,185,323,0,2,22,49,1,20,30,1,2,0,2,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,58,1,4,1,15,84,4,1,0,10,164,111,76,59,42,4,22,49,160,16,7,9,4,239,296,23,1,2,1,7,2,3,34,2,2,5,8,1,1,9,3,2,20,0,8,2,1,7,6,6,13,16,8,7,1,8,73,1,14,4,1,4,3,5,152,0,0,67,1,3,3,10,9,7,0,0,64,44,6,8,4,175,13,78,30,213,81,34,12,1,0,0,0,13,4,1,3,3,15,4,7,2,1,0,12,395,1,1,20,17,1,3,4211
7/1/15,205,0,0,0,0,1,15,58,216,367,0,4,23,49,1,17,27,1,2,0,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,1,4,1,25,163,4,1,0,11,170,114,82,60,50,5,29,41,123,10,8,12,5,258,305,18,1,2,1,4,1,3,34,1,2,2,12,1,1,9,1,1,21,0,7,1,1,7,4,10,17,18,7,7,4,8,77,1,16,4,1,6,5,3,162,0,0,81,1,4,1,8,6,8,1,0,73,32,5,5,3,155,10,91,30,207,65,41,17,1,0,0,0,12,5,1,6,2,17,3,6,1,1,1,12,384,1,3,26,23,2,4,4376
8/1/15,217,0,0,0,0,1,13,66,169,360,0,4,23,49,1,18,26,2,2,0,2,0,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,48,1,7,1,15,246,5,1,0,10,176,134,100,53,64,8,31,51,191,11,7,12,3,262,351,15,1,3,2,8,1,4,36,1,3,3,11,1,1,5,1,1,25,0,11,2,1,5,4,7,24,22,6,7,1,8,86,3,16,4,1,5,3,4,149,0,0,91,1,5,2,14,9,5,3,0,73,28,4,4,2,160,13,100,47,207,71,44,19,2,0,0,0,12,8,4,4,3,19,3,5,1,1,1,9,412,1,2,23,18,2,6,4694
9/1/15,213,0,12,29,0,1,8,48,190,341,0,3,17,44,1,22,22,15,3,1,4,0,12,1,0,0,0,10,0,2,9,0,0,0,1,0,13,75,1,0,39,59,1,5,1,18,325,40,1,0,9,162,118,91,72,22,15,34,39,119,6,4,14,3,272,278,12,1,1,2,4,1,3,29,1,2,2,9,1,3,7,2,1,32,0,10,1,1,4,6,8,23,15,5,5,2,12,75,1,15,4,2,4,2,3,162,0,1,95,1,7,2,15,9,6,5,9,67,37,9,12,2,205,21,122,39,325,62,45,16,2,0,1,1,13,8,1,4,4,22,5,6,2,1,1,14,534,0,3,25,18,1,4,5100
10/1/15,196,0,1,1,0,1,8,60,206,315,0,3,19,32,2,24,28,1,1,0,3,0,12,1,1,0,0,0,0,1,1,0,0,0,1,0,1,5,1,0,9,46,1,5,1,16,9,5,1,0,9,178,120,67,65,9,4,31,46,132,9,5,10,2,277,241,27,1,2,2,5,1,2,24,3,2,4,8,1,4,6,1,2,26,0,12,2,1,6,7,10,16,18,5,5,2,10,83,1,15,3,1,2,2,6,146,0,1,100,2,12,5,19,10,7,0,0,73,34,11,11,3,210,22,115,30,194,62,37,15,1,0,1,1,13,2,1,3,2,25,4,5,1,1,2,16,534,0,3,25,18,2,5,4335
11/1/15,200,0,0,1,0,1,7,56,200,341,0,3,26,40,1,19,24,1,1,0,1,0,13,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,8,43,1,5,1,18,0,2,1,0,8,139,103,79,67,11,5,22,43,119,7,6,5,3,262,255,18,2,2,2,7,1,2,31,1,2,3,7,1,2,3,2,1,21,1,11,1,1,4,4,8,21,18,4,8,1,8,77,1,11,5,1,2,4,7,142,0,1,132,1,11,6,22,10,4,0,0,52,52,10,9,5,210,17,108,32,175,49,35,15,1,0,1,1,12,6,1,1,4,19,3,8,1,1,2,19,528,0,2,25,18,1,5,4217
12/1/15,213,0,0,1,0,1,11,61,195,315,0,3,20,32,1,25,15,7,2,0,2,0,11,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,6,47,1,6,2,17,0,2,2,0,9,162,110,70,64,14,4,25,48,132,9,5,5,3,320,278,13,1,3,1,6,1,2,32,1,5,4,10,1,3,6,3,2,21,2,11,1,1,5,4,8,22,16,7,4,2,7,75,1,17,3,1,3,2,4,162,0,1,130,1,9,2,13,8,7,0,0,67,48,5,8,3,160,16,92,27,169,49,45,13,3,2,1,1,14,6,1,4,1,15,2,4,1,1,1,10,439,0,2,17,23,1,6,4164
1/1/16,213,0,0,0,0,1,12,57,185,275,0,3,22,35,2,20,19,2,1,0,2,1,13,1,3,1,0,0,0,1,0,0,0,0,1,0,1,5,1,0,4,50,1,6,1,14,0,1,1,0,10,162,119,79,65,14,6,24,49,173,9,4,5,4,320,291,17,2,2,4,7,1,3,33,1,2,3,10,1,1,7,5,2,29,2,11,1,5,8,4,14,19,14,5,7,1,9,83,3,14,6,2,4,4,4,155,0,1,130,7,6,2,14,7,7,0,0,67,53,6,9,1,178,11,110,30,175,52,35,12,4,4,1,1,14,5,1,2,2,18,3,5,1,1,2,16,439,0,2,26,29,1,6,4290
2/1/16,205,0,0,0,0,1,9,56,169,241,0,2,20,35,1,21,22,1,2,0,1,1,11,2,1,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,3,44,1,6,1,14,5,2,1,0,6,160,102,70,69,24,4,24,56,146,7,5,9,5,324,255,19,3,2,2,7,1,2,29,2,2,3,9,2,3,5,4,1,36,2,10,1,7,8,6,9,25,17,5,5,3,8,64,2,15,4,1,2,3,3,139,0,1,142,12,7,2,16,11,9,0,0,64,48,13,11,4,198,18,126,32,169,52,35,14,3,5,1,1,15,2,1,3,2,21,3,6,1,1,2,20,534,0,3,25,18,1,4,4278
3/1/16,221,0,0,0,0,2,13,49,164,267,0,3,22,32,3,20,19,1,2,0,1,1,8,1,2,1,0,0,0,2,0,0,0,0,2,0,1,5,2,1,2,42,1,6,2,16,0,2,1,0,13,162,115,79,65,27,3,72,51,150,7,4,9,4,324,255,20,2,1,1,5,2,2,27,1,3,3,7,2,2,6,4,1,34,2,10,1,9,9,4,13,22,15,6,5,1,8,77,2,14,4,1,2,4,3,146,0,1,136,9,9,2,15,8,4,0,0,70,57,8,9,4,205,20,124,33,163,52,31,14,4,7,1,1,16,2,1,2,2,16,1,4,1,1,2,17,539,1,5,23,19,2,8,4387
4/1/16,292,0,0,0,0,2,11,51,179,252,0,1,19,27,3,22,21,1,1,1,2,1,13,1,2,1,0,0,0,1,1,0,0,0,1,0,1,0,1,3,1,44,1,8,1,16,0,2,1,0,5,162,130,76,75,27,5,179,65,105,9,6,8,5,286,260,18,1,2,4,9,2,4,25,1,4,3,7,1,1,6,3,1,37,4,15,2,7,8,5,10,21,19,3,5,1,9,69,1,14,5,2,5,3,2,136,1,1,122,13,13,5,18,8,5,0,0,70,134,11,11,3,203,19,119,30,163,42,30,14,19,9,1,1,12,4,1,2,1,16,3,9,1,1,1,14,556,1,4,26,24,2,4,4610
5/1/16,259,0,0,0,0,2,10,57,158,263,0,2,23,22,3,20,21,1,2,1,2,1,10,1,2,2,0,0,0,17,2,0,0,0,17,0,1,0,3,4,1,39,1,5,2,14,0,2,1,0,9,162,108,76,78,29,8,100,49,132,7,6,7,3,339,337,16,1,3,3,6,1,4,26,1,2,3,9,1,1,4,6,2,30,5,19,2,10,8,4,13,31,21,9,4,2,6,71,2,10,4,1,3,3,3,136,1,1,120,15,7,4,12,6,7,0,0,58,124,10,12,2,183,13,113,34,163,39,32,16,24,17,1,1,12,2,1,2,1,15,2,5,1,1,1,17,550,1,3,26,16,2,3,4583
6/1/16,246,3,8,16,0,1,12,46,179,267,0,3,26,25,3,26,21,3,2,2,2,6,11,12,16,2,0,2,3,32,4,0,3,1,33,0,1,20,43,6,1,58,1,8,1,14,30,6,1,5,9,168,92,70,65,20,7,54,64,173,9,4,8,2,362,428,15,1,5,2,5,1,4,30,1,3,3,7,2,1,6,6,2,45,7,19,2,16,10,4,16,34,22,5,7,2,8,81,1,15,5,3,2,3,3,165,1,1,116,15,5,3,10,6,7,1,0,64,91,7,7,3,160,11,123,36,200,133,32,11,62,42,5,2,16,6,1,2,2,19,2,5,1,17,2,10,428,1,4,23,15,2,3,5028
7/1/16,255,6,4,8,3,1,12,50,195,252,3,6,22,30,3,22,23,3,2,1,3,3,9,36,36,2,0,3,2,28,3,5,0,1,13,0,1,15,75,32,2,48,1,6,1,16,42,7,1,3,9,205,84,55,58,16,4,74,49,196,4,6,5,5,415,455,23,3,4,4,8,1,3,35,3,1,5,11,1,2,6,3,2,45,8,12,1,12,12,4,16,33,25,5,9,2,11,81,2,16,5,1,4,2,1,155,1,1,122,14,2,2,8,6,5,3,0,70,95,4,8,2,153,13,117,33,188,75,39,16,37,19,7,2,13,3,0,1,2,11,3,5,1,51,1,7,417,1,5,28,16,1,5,5125
8/1/16,217,1,1,1,5,1,10,51,169,241,5,4,22,30,3,27,19,1,1,1,3,1,9,2,2,4,0,5,1,3,1,1,0,2,1,0,1,5,5,1,2,50,1,7,1,15,9,4,1,3,9,182,72,52,72,16,6,33,59,155,7,4,7,4,453,382,27,2,3,4,7,1,2,33,4,4,3,11,1,2,8,4,1,39,7,11,1,17,13,5,15,28,27,4,11,3,8,90,2,18,3,2,3,4,4,149,1,1,130,17,4,2,8,6,3,1,0,67,82,4,10,1,160,10,117,35,157,59,34,18,19,8,1,2,12,7,0,2,4,18,3,4,1,71,1,11,428,1,2,27,17,1,3,4614
9/1/16,217,12,1,8,7,2,13,40,190,241,7,3,24,22,2,24,20,1,1,1,2,1,13,3,4,7,0,7,1,2,1,1,0,3,2,0,1,5,7,1,2,46,1,6,2,14,5,4,1,1,10,182,62,52,62,48,4,25,55,96,6,4,5,2,410,373,19,1,4,3,10,1,4,28,2,1,2,11,1,2,3,5,3,31,4,16,1,10,11,5,13,28,21,5,6,3,10,77,1,16,5,3,3,4,4,155,2,1,138,22,9,3,15,8,5,2,0,58,139,7,10,2,185,20,133,33,182,59,35,16,5,2,1,2,12,3,0,3,3,15,3,7,1,70,2,15,512,1,3,25,20,1,2,4699
10/1/16,196,22,10,15,9,1,9,60,185,234,9,2,22,25,3,27,20,6,2,1,5,1,9,56,66,9,4,9,3,36,7,1,0,3,49,3,16,25,94,33,2,51,1,6,1,17,417,18,1,31,12,172,42,49,70,48,9,24,56,150,23,6,8,7,443,341,16,2,4,5,8,1,2,28,1,3,3,10,1,2,4,10,2,33,7,17,2,17,8,5,14,30,22,6,5,2,9,86,2,18,8,3,6,4,2,155,1,1,161,21,19,3,20,12,7,4,2,52,84,7,21,13,223,20,134,33,188,62,33,15,49,8,25,2,13,4,0,2,3,14,2,11,1,78,1,15,550,1,5,23,20,2,3,5823
11/1/16,192,2,1,1,1,1,11,53,195,219,1,2,27,32,4,25,22,2,2,1,8,1,7,1,3,1,1,1,1,1,1,1,0,0,1,1,1,0,3,1,0,43,1,4,1,11,5,4,2,1,10,168,44,49,78,37,8,25,55,169,38,4,8,14,429,305,18,1,4,7,4,1,3,26,1,1,4,11,2,2,7,14,2,42,6,22,3,13,9,6,17,33,23,7,5,3,11,75,2,18,5,2,4,5,2,139,1,2,171,23,13,4,17,7,6,0,0,58,110,6,20,13,220,16,141,26,157,52,38,17,9,3,1,1,16,3,0,4,3,13,2,5,1,69,4,22,545,1,3,25,19,2,4,4774
